epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,491.667,1.40631,0.66342,0.84975,0.96923,0.90811,0.95254,0.47646,1.6755,0.71351,0.91303,0.0002575,0.0002575,0.0002575
77,498.048,1.38445,0.64714,0.84458,0.95781,0.92282,0.94894,0.47601,1.67993,0.71937,0.91502,0.0002476,0.0002476,0.0002476
78,503.668,1.40457,0.65329,0.83692,0.97039,0.91194,0.95617,0.4886,1.64676,0.7217,0.90888,0.0002377,0.0002377,0.0002377
79,510.489,1.41275,0.69097,0.84393,0.95388,0.92893,0.95228,0.50111,1.62217,0.71672,0.90701,0.0002278,0.0002278,0.0002278
80,516.95,1.41255,0.66814,0.83373,0.9395,0.94624,0.96022,0.51237,1.58049,0.69622,0.90159,0.0002179,0.0002179,0.0002179
81,523.337,1.39405,0.65069,0.84265,0.96887,0.92461,0.96305,0.49896,1.62125,0.70378,0.90507,0.000208,0.000208,0.000208
82,529.805,1.3645,0.65119,0.83527,0.97442,0.91073,0.95708,0.49345,1.61576,0.70229,0.90341,0.0001981,0.0001981,0.0001981
83,536.292,1.38535,0.65157,0.83681,0.96206,0.934,0.96498,0.49581,1.63535,0.69005,0.90684,0.0001882,0.0001882,0.0001882
84,542.557,1.33835,0.62843,0.83256,0.95874,0.93843,0.96057,0.50398,1.61378,0.68489,0.90275,0.0001783,0.0001783,0.0001783
85,548.82,1.35087,0.63187,0.83419,0.95285,0.93583,0.95632,0.50443,1.61294,0.67886,0.90262,0.0001684,0.0001684,0.0001684
86,554.753,1.34846,0.63441,0.84282,0.95955,0.93539,0.95844,0.51333,1.58546,0.67536,0.90035,0.0001585,0.0001585,0.0001585
87,561.638,1.33687,0.62641,0.83437,0.96484,0.9295,0.95719,0.51073,1.61114,0.68693,0.90417,0.0001486,0.0001486,0.0001486
88,567.864,1.29709,0.60892,0.83525,0.96926,0.92853,0.954,0.50291,1.62589,0.68454,0.90956,0.0001387,0.0001387,0.0001387
89,573.937,1.32721,0.62748,0.83684,0.96002,0.94107,0.95787,0.49794,1.64611,0.68918,0.91142,0.0001288,0.0001288,0.0001288
90,580.352,1.33217,0.61576,0.83727,0.95501,0.93555,0.95529,0.50007,1.62988,0.69104,0.90758,0.0001189,0.0001189,0.0001189
